member,@10day,@30day,@100day,@365day
C_100,x=0.0021 y=0.0012,x=0.0044 y=0.0026,x=0.0087 y=0.0076,
C_101,x=0.0010 y=0.0007,x=0.0032 y=0.0021,,
C_102,x=0.0018 y=0.0011,x=0.0045 y=0.0027,x=0.0116 y=0.0102,x=0.0229 y=0.0227
C_103,x=0.0015 y=0.0009,x=0.0037 y=0.0027,,
C_104,x=0.0010 y=0.0005,x=0.0058 y=0.0030,x=nan y=nan,
C_105,x=0.0009 y=0.0006,x=0.0030 y=0.0017,,
C_107,x=0.0018 y=0.0013,x=0.0048 y=0.0031,,
C_108,x=0.0023 y=0.0015,x=0.0050 y=0.0033,x=0.0128 y=0.0097,x=0.0311 y=0.0341
C_112,x=0.0020 y=0.0016,x=0.0044 y=0.0038,,
C_113,x=0.0021 y=0.0011,x=0.0062 y=0.0032,,
C_114,x=0.0025 y=0.0014,x=0.0061 y=0.0037,,
C_115,x=0.0019 y=0.0010,x=0.0048 y=0.0022,,
C_116,x=0.0008 y=0.0005,x=0.0031 y=0.0016,x=0.0077 y=0.0061,
C_117,,,,
C_118,x=0.0020 y=0.0013,x=0.0044 y=0.0030,,
C_120,x=nan y=nan,,,
C_121,x=0.0036 y=0.0031,x=0.0084 y=0.0077,x=0.0207 y=0.0206,x=0.0387 y=0.0361
C_122,x=nan y=nan,x=nan y=nan,x=nan y=nan,
C_123,x=nan y=nan,x=nan y=nan,,
C_124,x=nan y=nan,,,
C_125,x=nan y=nan,,,
C_126,x=nan y=nan,,,
C_127,x=nan y=nan,,,
C_128,x=0.0111 y=0.0047,,,
C_129,x=nan y=nan,,,
C_130,x=nan y=nan,,,
C_131,x=0.0018 y=0.0013,,,
C_132,x=0.0017 y=0.0011,,,
C_133,x=0.0017 y=0.0011,,,
C_134,x=nan y=nan,,,
C_135,x=0.0040 y=0.0019,x=0.0063 y=0.0031,x=0.0098 y=0.0075,x=0.0266 y=0.0328
C_136,x=0.0008 y=0.0005,x=0.0031 y=0.0016,,
C_137,x=0.0025 y=0.0021,x=0.0059 y=0.0047,x=0.0176 y=0.0158,x=0.0458 y=0.0509
C_138,x=0.0008 y=0.0007,x=0.0028 y=0.0020,x=0.0082 y=0.0088,x=0.0149 y=0.0171
C_141,x=0.0019 y=0.0013,x=0.0072 y=0.0033,,
C_142,x=nan y=nan,,,
C_143,x=nan y=nan,x=nan y=nan,,
C_144,x=nan y=nan,x=nan y=nan,,
C_145,x=nan y=nan,x=nan y=nan,,
C_146,x=nan y=nan,x=nan y=nan,,
C_147,x=nan y=nan,x=nan y=nan,,
C_148,x=nan y=nan,x=nan y=nan,,
C_149,x=nan y=nan,x=nan y=nan,,
C_150,x=nan y=nan,x=nan y=nan,,
C_151,x=nan y=nan,x=nan y=nan,,
C_152,x=nan y=nan,x=nan y=nan,,
C_153,x=0.0012 y=0.0009,x=0.0039 y=0.0024,,
C_154,x=nan y=nan,x=nan y=nan,,
C_155,x=nan y=nan,x=nan y=nan,,
C_156,x=0.0015 y=0.0009,x=0.0059 y=0.0026,,
C_157,x=0.0015 y=0.0012,x=0.0038 y=0.0051,,
C_200,x=0.0014 y=0.0010,x=0.0039 y=0.0031,,
